mentor_id,mentor_hash,email,phone,mentor_type,industry,company_type,role_category,years_experience,skills_offered,availability,max_mentees,current_mentees,background_check_status,training_completed,start_date,status,created_at,updated_at
MEN-000001,mentor_hash_c4ca4238a0b923820dcc509a6f75849b,mentor1@masked.email,555-0200,Volunteer,Technology,Startup,Producer,6,Audio Engineering,Evenings,3,1,Approved,true,2022-06-21,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000002,mentor_hash_c81e728d9d4c2f636f067f89cc14862c,mentor2@masked.email,555-0400,Industry Expert,Film Production,Non-Profit,Engineer,7,Graphic Design,Flexible,4,2,Approved,true,2022-07-11,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000003,mentor_hash_eccbc87e4b5ce2fe28308fd9f2a7baf3,mentor3@masked.email,555-0600,Professional,Music,Agency,Designer,8,Web Development,Weekends,5,0,Approved,true,2022-07-31,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000004,mentor_hash_a87ff679a2f3e71d9181a67b7542122c,mentor4@masked.email,555-0800,Volunteer,Design,Corporate,Manager,9,Photography,Evenings,2,1,Approved,true,2022-08-20,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000005,mentor_hash_e4da3b7fbbce2345d7772b0674a318d5,mentor5@masked.email,555-1000,Industry Expert,Media Arts,Startup,Specialist,10,Video Production,Flexible,3,2,Approved,true,2022-09-09,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000006,mentor_hash_1679091c5a880faf6fb5e6087eb1b2dc,mentor6@masked.email,555-1200,Professional,Technology,Non-Profit,Creative Director,11,Audio Engineering,Weekends,4,0,Approved,true,2022-09-29,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000007,mentor_hash_8f14e45fceea167a5a36dedd4bea2543,mentor7@masked.email,555-1400,Volunteer,Film Production,Agency,Producer,12,Graphic Design,Evenings,5,1,Approved,true,2022-10-19,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000008,mentor_hash_c9f0f895fb98ab9159f51fd0297e236d,mentor8@masked.email,555-1600,Industry Expert,Music,Corporate,Engineer,13,Web Development,Flexible,2,2,Approved,false,2022-11-08,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000009,mentor_hash_45c48cce2e2d7fbdea1afc51c7c6ad26,mentor9@masked.email,555-1800,Professional,Design,Startup,Designer,14,Photography,Weekends,3,0,Approved,true,2022-11-28,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000010,mentor_hash_d3d9446802a44259755d38e6d163e820,mentor10@masked.email,555-2000,Volunteer,Media Arts,Non-Profit,Manager,15,Video Production,Evenings,4,1,Pending,true,2022-12-18,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000011,mentor_hash_6512bd43d9caa6e02c990b0a82652dca,mentor11@masked.email,555-2200,Industry Expert,Technology,Agency,Specialist,16,Audio Engineering,Flexible,5,2,Approved,true,2023-01-07,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000012,mentor_hash_c20ad4d76fe97759aa27a0c99bff6710,mentor12@masked.email,555-2400,Professional,Film Production,Corporate,Creative Director,17,Graphic Design,Weekends,2,0,Approved,true,2023-01-27,Inactive,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000013,mentor_hash_c51ce410c124a10e0db5e4b97fc2af39,mentor13@masked.email,555-2600,Volunteer,Music,Startup,Producer,18,Web Development,Evenings,3,1,Approved,true,2023-02-16,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000014,mentor_hash_aab3238922bcc25a6f606eb525ffdc56,mentor14@masked.email,555-2800,Industry Expert,Design,Non-Profit,Engineer,19,Photography,Flexible,4,2,Approved,true,2023-03-08,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000015,mentor_hash_9bf31c7ff062936a96d3c8bd1f8f2ff3,mentor15@masked.email,555-3000,Professional,Media Arts,Agency,Designer,20,Video Production,Weekends,5,0,Approved,true,2023-03-28,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000016,mentor_hash_c74d97b01eae257e44aa9d5bade97baf,mentor16@masked.email,555-3200,Volunteer,Technology,Corporate,Manager,21,Audio Engineering,Evenings,2,1,Approved,false,2023-04-17,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000017,mentor_hash_70efdf2ec9b086079795c442636b55fb,mentor17@masked.email,555-3400,Industry Expert,Film Production,Startup,Specialist,22,Graphic Design,Flexible,3,2,Approved,true,2023-05-07,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000018,mentor_hash_6f4922f45568161a8cdf4ad2299f6d23,mentor18@masked.email,555-3600,Professional,Music,Non-Profit,Creative Director,23,Web Development,Weekends,4,0,Approved,true,2023-05-27,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
MEN-000019,mentor_hash_1f0e3dad99908345f7439f8ffabdffc4,mentor19@masked.email,555-3800,Volunteer,Design,Agency,Producer,24,Photography,Evenings,5,1,Approved,true,2023-06-16,Active,2026-01-28T20:15:54.346Z,2026-01-28T20:15:54.346Z
