placement_id,student_id,placement_type,employer_name,industry,job_title,hourly_wage,hours_per_week,start_date,end_date,is_current,better_youth_referral,performance_rating,benefits_offered,career_advancement_opportunity,supervisor_name,supervisor_phone,supervisor_email,mentor_at_workplace,skills_match_training,placement_notes,status,created_at,updated_at
PLACE-000001,STU-000001,Part-Time,Employer 1,Technology,Junior Designer,12.75,12,2023-06-15,null,true,false,Good,false,false,Supervisor 1,555-0300,supervisor1@employer.com,false,false,Notes for placement 1,Active,2026-01-28T20:15:56.818Z,2026-01-28T20:15:56.818Z
PLACE-000002,STU-000002,Full-Time,Employer 2,Creative Services,Video Editor,13.50,14,2023-06-29,null,true,false,Satisfactory,false,false,Supervisor 2,555-0600,supervisor2@employer.com,false,false,Notes for placement 2,On Hold,2026-01-28T20:15:56.818Z,2026-01-28T20:15:56.818Z
PLACE-000003,STU-000003,Apprenticeship,Employer 3,Entertainment,Audio Technician,14.25,16,2023-07-13,null,true,true,Needs Improvement,false,false,Supervisor 3,555-0900,supervisor3@employer.com,false,false,Notes for placement 3,Active,2026-01-28T20:15:56.818Z,2026-01-28T20:15:56.818Z
PLACE-000004,STU-000004,Internship,Employer 4,Marketing,Social Media Coordinator,15.00,18,2023-07-27,null,true,false,Excellent,false,false,Supervisor 4,555-1200,supervisor4@employer.com,false,false,Notes for placement 4,Active,2026-01-28T20:15:56.818Z,2026-01-28T20:15:56.818Z
PLACE-000005,STU-000005,Part-Time,Employer 5,Design,Web Developer,15.75,20,2023-08-10,2024-02-06,false,false,Good,false,true,Supervisor 5,555-1500,supervisor5@employer.com,false,false,Notes for placement 5,Completed,2026-01-28T20:15:56.818Z,2026-01-28T20:15:56.818Z
PLACE-000006,STU-000006,Full-Time,Employer 6,Media Production,Photographer,16.50,22,2023-08-24,null,true,true,Satisfactory,true,false,Supervisor 6,555-1800,supervisor6@employer.com,false,false,Notes for placement 6,Active,2026-01-28T20:15:56.818Z,2026-01-28T20:15:56.818Z
PLACE-000007,STU-000007,Apprenticeship,Employer 7,Technology,Production Assistant,17.25,24,2023-09-07,null,true,false,Needs Improvement,false,false,Supervisor 7,555-2100,supervisor7@employer.com,false,true,Notes for placement 7,On Hold,2026-01-28T20:15:56.818Z,2026-01-28T20:15:56.818Z
PLACE-000008,STU-000008,Internship,Employer 8,Creative Services,Junior Designer,18.00,26,2023-09-21,null,true,false,Excellent,false,false,Supervisor 8,555-2400,supervisor8@employer.com,true,false,Notes for placement 8,Active,2026-01-28T20:15:56.818Z,2026-01-28T20:15:56.818Z
PLACE-000009,STU-000009,Part-Time,Employer 9,Entertainment,Video Editor,18.75,28,2023-10-05,null,true,true,Good,false,false,Supervisor 9,555-2700,supervisor9@employer.com,false,false,Notes for placement 9,Active,2026-01-28T20:15:56.818Z,2026-01-28T20:15:56.818Z
PLACE-000010,STU-000010,Full-Time,Employer 10,Marketing,Audio Technician,19.50,30,2023-10-19,2024-04-16,false,false,Satisfactory,false,true,Supervisor 10,555-3000,supervisor10@employer.com,false,false,Notes for placement 10,Completed,2026-01-28T20:15:56.818Z,2026-01-28T20:15:56.818Z
PLACE-000011,STU-000011,Apprenticeship,Employer 11,Design,Social Media Coordinator,20.25,32,2023-11-02,null,true,false,Needs Improvement,false,false,Supervisor 11,555-3300,supervisor11@employer.com,false,false,Notes for placement 11,Active,2026-01-28T20:15:56.818Z,2026-01-28T20:15:56.818Z
PLACE-000012,STU-000012,Internship,Employer 12,Media Production,Web Developer,21.00,34,2023-11-16,null,true,true,Excellent,true,false,Supervisor 12,555-3600,supervisor12@employer.com,false,false,Notes for placement 12,On Hold,2026-01-28T20:15:56.818Z,2026-01-28T20:15:56.818Z
