student_id,student_hash,age_range,enrollment_date,email,phone,grade_level,school_type,emergency_contact,has_iep,primary_language,transportation_needs,photo_consent,status,created_at,updated_at
STU-000001,hash_c4ca4238a0b923820dcc509a6f75849b,14-16,2023-01-16,student1@masked.email,555-0100,7,Private,EC-0001,false,French,false,true,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000002,hash_c81e728d9d4c2f636f067f89cc14862c,17-18,2023-01-31,student2@masked.email,555-0200,8,Charter,EC-0002,false,English,false,true,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000003,hash_eccbc87e4b5ce2fe28308fd9f2a7baf3,19-21,2023-02-15,student3@masked.email,555-0300,9,Public,EC-0003,false,English,false,false,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000004,hash_a87ff679a2f3e71d9181a67b7542122c,11-13,2023-03-02,student4@masked.email,555-0400,10,Private,EC-0004,false,English,true,true,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000005,hash_e4da3b7fbbce2345d7772b0674a318d5,14-16,2023-03-17,student5@masked.email,555-0500,11,Charter,EC-0005,true,English,false,true,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000006,hash_1679091c5a880faf6fb5e6087eb1b2dc,17-18,2023-04-01,student6@masked.email,555-0600,12,Public,EC-0006,false,English,false,false,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000007,hash_8f14e45fceea167a5a36dedd4bea2543,19-21,2023-04-16,student7@masked.email,555-0700,6,Private,EC-0007,false,English,false,true,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000008,hash_c9f0f895fb98ab9159f51fd0297e236d,11-13,2023-05-01,student8@masked.email,555-0800,7,Charter,EC-0008,false,English,true,true,Inactive,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000009,hash_45c48cce2e2d7fbdea1afc51c7c6ad26,14-16,2023-05-16,student9@masked.email,555-0900,8,Public,EC-0009,false,English,false,false,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000010,hash_d3d9446802a44259755d38e6d163e820,17-18,2023-05-31,student10@masked.email,555-1000,9,Private,EC-0010,true,Spanish,false,true,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000011,hash_6512bd43d9caa6e02c990b0a82652dca,19-21,2023-06-15,student11@masked.email,555-1100,10,Charter,EC-0011,false,French,false,true,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000012,hash_c20ad4d76fe97759aa27a0c99bff6710,11-13,2023-06-30,student12@masked.email,555-1200,11,Public,EC-0012,false,English,true,false,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000013,hash_c51ce410c124a10e0db5e4b97fc2af39,14-16,2023-07-15,student13@masked.email,555-1300,12,Private,EC-0013,false,English,false,true,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000014,hash_aab3238922bcc25a6f606eb525ffdc56,17-18,2023-07-30,student14@masked.email,555-1400,6,Charter,EC-0014,false,English,false,true,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000015,hash_9bf31c7ff062936a96d3c8bd1f8f2ff3,19-21,2023-08-14,student15@masked.email,555-1500,7,Public,EC-0015,true,English,false,false,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000016,hash_c74d97b01eae257e44aa9d5bade97baf,11-13,2023-08-29,student16@masked.email,555-1600,8,Private,EC-0016,false,English,true,true,Inactive,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000017,hash_70efdf2ec9b086079795c442636b55fb,14-16,2023-09-13,student17@masked.email,555-1700,9,Charter,EC-0017,false,English,false,true,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000018,hash_6f4922f45568161a8cdf4ad2299f6d23,17-18,2023-09-28,student18@masked.email,555-1800,10,Public,EC-0018,false,English,false,false,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000019,hash_1f0e3dad99908345f7439f8ffabdffc4,19-21,2023-10-13,student19@masked.email,555-1900,11,Private,EC-0019,false,English,false,true,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
STU-000020,hash_98f13708210194c475687be6106a3b84,11-13,2023-10-28,student20@masked.email,555-2000,12,Charter,EC-0020,true,Spanish,true,true,Active,2026-01-28T20:15:52.267Z,2026-01-28T20:15:52.267Z
